name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,12/31/2001,12/31/2000
			TaxesReceivable,"824,091,000","230,030,000","958,659,000","944,287,000","864,163,000","345,730,000","717,021,000","592,539,000","425,793,000","82,891,000","1,643,348,000","1,526,506,000","131,937,000","111,738,000","236,496,000","304,968,000","423,098,000","244,480,000","322,327,000","259,684,000","490,839,000","514,056,000","726,558,000","969,376,000","883,921,000","749,905,000","1,121,737,000","974,875,000","700,564,000","370,001,000","775,963,000","1,098,124,000",,,,,,"836,649,000","1,251,665,000","1,017,567,000","808,794,000",,,,"693,084,000","328,498,000",,,,,,,,"163,471,000",,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,994.3","94,726,872.95","75,176,723.7","88,114,023",,"69,710,077.5",,,"-473,927.5",,,,,,,,,,,,,,,,
		Inventory,,"49,667,000",,,,"48,704,000",,,,"50,239,000",,,,"24,392,000",,,,"22,557,000",,,,"18,658,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"69,756,000","165,622,000","205,897,000","271,464,000","38,110,000","47,332,000","226,360,000","194,154,000","262,252,000","106,350,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"987,466,000","821,438,000","1,233,911,000","1,139,690,000","1,017,189,000",,,,,"746,594,000","774,584,000","789,887,000",,,"634,566,000","595,549,000","236,954,000",,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"987,466,000","821,438,000","1,233,911,000","1,139,690,000","1,017,189,000",,,,,"746,594,000","774,584,000","789,887,000",,,"634,566,000","595,549,000","236,954,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,"204,065,000",,,,"181,529,000",,,,"185,426,000",,,,"134,381,000",,,,"214,717,000",,,,"66,032,000",,,,"77,237,000",,,,"85,117,000",,,,,,,,,,,,,,,,,,,,"328,498,000",,,,,"10,998.75","140,734,420.2","116,644,921","157,771,287.7","35,165,482.65","32,643,051.2","36,720,046","58,945,024","36,134,522.5","48,669,260","65,098,760","140,272,480.75","152,718,969","33,992,664","44,954,631","56,071,272","72,885,187.5","77,909,130","59,979,234.5","18,813,501.74"
	TotalNonCurrentAssets,"54,538,784,000","49,670,025,000","49,254,888,000","48,924,295,000","49,566,220,000","50,180,909,000","49,287,571,000","51,063,456,000","49,656,460,000","50,826,241,000","33,982,596,000","33,833,503,000","24,585,653,000","24,983,073,000","24,097,556,000","23,621,489,000","23,187,559,000","23,140,355,000","21,460,486,000","20,625,180,000","20,218,462,000","20,020,605,000","19,013,704,000","18,744,374,000","18,787,855,000","18,862,380,000","18,722,187,000","18,661,115,000","18,496,584,000","15,944,455,000","15,740,796,000","15,712,189,000","15,682,648,000","15,990,063,000","15,503,208,000","15,471,910,000","15,441,907,000","15,544,427,000","15,184,955,000","14,497,427,000","14,500,854,000","14,612,545,000","14,320,431,000","14,363,251,000","14,439,508,000","14,142,471,000","14,309,995,000","14,140,928,000","14,171,560,000","14,142,471,000","13,741,301,288.75","13,574,006,790.5","13,577,575,914","13,300,711,000","12,949,081,346.25","12,554,711,287.8","12,394,917,192.25","12,204,824,000","11,987,072,989.05","11,790,890,013.6","11,768,987,191.5","11,619,453,000","11,381,131,715","11,172,743,679","11,135,250,130","10,960,478,000","10,768,315,272","10,574,845,704","10,702,217,889","10,560,687,000","10,404,250,548.5","10,274,666,805","10,055,996,000","9,586,689,811.31"
		NetPPE,"557,084,000","520,623,000","505,510,000","505,221,000","501,789,000","558,480,000","524,359,000","487,302,000","455,097,000","473,238,000","448,647,000","440,044,000","323,186,000","323,099,000","322,397,000","322,493,000","321,810,000","321,913,000","320,535,000","321,185,000","321,894,000","322,613,000","323,100,000","322,740,000","322,725,000","322,072,000","316,979,000","317,251,000","317,444,000","314,634,000","313,536,000","313,702,000","314,212,000","306,504,000","350,349,000","306,654,000","307,127,000","305,629,000","303,935,000","6,732,252,000","4,663,002,000","980,851,000","4,285,432,000","4,252,760,000","4,294,766,000","541,604,000","3,748,185,000","3,681,199,000","3,649,250,000","3,670,223,000","5,655,685,280.9","415,026,021.15","5,524,249,320","3,149,358,000","4,933,753,282.5","4,628,184,828.3","4,410,829,430.5","7,873,881,000","4,074,461,965.05","3,885,493,328.8","3,787,218,776","9,403,198,000","3,480,191,232.5","3,364,337,562","3,334,714,140","8,850,040,000","986,299,431","915,925,608","895,125,717","8,459,560,000","2,847,667,751","2,787,215,535","7,991,835,000","269,769,088.28"
			GrossPPE,"557,084,000","662,235,000","505,510,000","505,221,000","501,789,000","662,958,000","524,359,000","487,302,000","455,097,000","532,767,000","448,647,000","440,044,000","323,186,000","362,051,000","322,397,000","322,493,000","321,810,000","357,530,000","320,535,000","321,185,000","321,894,000","354,982,000","323,100,000","322,740,000","322,725,000","350,494,000","316,979,000","317,251,000","317,444,000","340,289,000",,"313,702,000",,"329,575,000",,"306,654,000",,"1,706,921,000","303,935,000","6,732,252,000",,"1,267,043,000","4,285,432,000","4,252,760,000",,"775,935,000","3,748,185,000","3,681,199,000","3,649,250,000","4,481,959,000","6,196,753,632.2","949,033,291.05","5,524,249,320","3,683,931,000","5,317,290,693.75","5,021,796,471.45","4,410,829,430.5","8,244,826,493.15","5,671,768,554","5,482,318,518","5,443,456,100.5","11,054,325,081","3,662,973,307.5","3,549,211,552","3,513,769,240","9,030,173,117.5","1,111,348,641","1,034,029,528","1,017,591,687","8,578,117,120","2,929,012,735","2,866,298,175","8,064,742,912","316,706,757.33"
				LandAndImprovements,,"302,323,000",,,,"302,323,000",,,,"302,347,000",,,,"302,050,000",,,,"302,050,000",,,,"302,050,000","323,100,000","322,740,000","322,725,000","302,050,000",,,,"302,050,000",,,,"293,726,000",,,,"444,496,000",,,,"444,496,000",,,,"117,800,000",,,,"117,800,000",,,,"113,532,000",,"1,594,120,946.55",,"771,867,884",,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,696,369,000",,,"3,023,576,000","3,096,801,000",,,"3,025,395,000","3,092,525,000","3,099,330,000",,,,,,,,,"674,341,908.8",,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"557,084,000","270,436,000","505,510,000","505,221,000","501,789,000","277,931,000","524,359,000","487,302,000","455,097,000","164,591,000","448,647,000","440,044,000","323,186,000","60,001,000","322,397,000","322,493,000","321,810,000","55,480,000","320,535,000","321,185,000","321,894,000","52,932,000",,,,"48,444,000","316,979,000","317,251,000","317,444,000","38,239,000",,"313,702,000",,"35,849,000",,"306,654,000",,"522,347,000","303,935,000","627,849,000",,"468,519,000",,,,"221,292,000",,,,"4,105,509,000",,,"259,904,434.5","176,784,000","236,352,138.75","238,203,277.95",,"658,502,447.95",,,,"1,813,182,167","79,361,400","266,250,838","260,082,280","202,978,446.75","77,987,442","61,501,600",,,,"63,936,405","673,756,391",
				OtherProperties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138,587,000",,"2,137,596,000",,"191,650,000","615,712,000","603,898,000",,"41,753,000","274,730,000","280,231,000","273,450,000","37,024,000",,"797,492,729.15","4,317,884,437.5","2,510,027,000","4,256,417,261.25","2,619,197,593.65",,"5,921,255,241.3",,,,"9,241,142,914","3,322,289,412.5","3,114,129,127","3,132,246,720","8,728,936,156.75","760,526,559","731,045,544",,,,"2,532,434,580","7,390,986,521",
				ConstructionInProgress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"601,491,000",,"270,438,000",,"162,378,000","646,144,000","552,061,000",,"221,626,000","448,060,000","308,443,000","276,470,000","221,626,000",,"151,540,561.9","946,460,448","723,905,000","824,521,293.75","570,274,653.3",,"218,859,011.1",,,,,"261,322,495","168,831,587","121,440,240","98,258,514","272,834,640","241,482,384",,,,"269,927,190",,
				Leases,,"59,158,000",,,,"60,640,000",,,,"44,916,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,"-141,612,000",,,,"-104,478,000",,,,"-59,529,000",,,,"-38,952,000",,,,"-35,617,000",,,,"-32,369,000",,,,"-28,422,000",,,,"-25,655,000",,,,"-23,071,000",,,,"-1,401,292,000",,,,"-286,192,000",,,,"-234,331,000",,,,"-811,736,000","-541,068,351.3","-534,007,269.9",,"-534,573,000","-383,537,411.25","-393,611,643.15",,"-370,945,493.15","-1,597,306,588.95","-1,596,825,189.2","-1,656,237,324.5","-1,651,127,081","-182,782,075","-184,873,990","-179,055,100","-180,133,117.5","-125,049,210","-118,103,920","-122,465,970","-118,557,120","-81,344,984","-79,082,640","-72,907,912","-46,937,669.05"
		GoodwillAndOtherIntangibleAssets,"53,950,966,000","49,126,038,000","48,722,829,000","48,389,339,000","49,031,510,000","49,586,322,000","48,763,212,000","50,576,154,000","49,201,363,000","50,353,003,000","33,533,949,000","33,393,459,000","20,205,491,000","20,284,126,000","19,405,394,000","19,179,804,000","19,012,191,000","19,022,311,000","17,367,628,000","16,828,464,000","16,549,084,000","16,509,356,000","15,779,666,000","15,642,703,000","15,700,782,000","15,790,796,000","15,607,494,000","15,586,964,000","15,601,057,000","15,629,821,000",,,,"15,405,490,000",,,,"14,945,330,000",,,"2,041,025,000","9,685,620,000","2,074,487,000","2,090,927,000","2,107,318,000","10,254,806,000","2,140,329,000","2,156,826,000","2,173,322,000","10,254,806,000","7,969,336,939.75","2,147,436,170.75",,"10,151,353,000",,,,"2,098,322,000",,,,"2,148,296,000",,,,"2,110,438,000","2,105,263,602","2,080,244,712","2,115,288,873","2,101,127,000",,,"2,064,161,000","2,050,191,263.16"
			Goodwill,,"2,567,365,000",,,,"-7,827,729,000",,,,"2,577,458,000","255,556,000","253,777,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,,"46,558,673,000",,"48,389,339,000",,"57,414,051,000","48,763,212,000","50,576,154,000","49,201,363,000","47,775,545,000","33,278,393,000","33,139,682,000","20,205,491,000","20,284,126,000","19,405,394,000","19,179,804,000","19,012,191,000","19,022,311,000","17,367,628,000","16,828,464,000","16,549,084,000","16,509,356,000","15,779,666,000","15,642,703,000","15,700,782,000","15,790,796,000","15,607,494,000","15,586,964,000","15,601,057,000","15,629,821,000",,,,"15,405,490,000",,,,"14,945,330,000",,,"2,041,025,000","9,685,620,000","2,074,487,000","2,090,927,000","2,107,318,000","10,254,806,000","2,140,329,000","2,156,826,000","2,173,322,000","10,254,806,000","7,969,336,939.75","2,147,436,170.75",,"10,151,353,000",,,,"2,098,322,000",,,,"2,148,296,000",,,,,"2,105,263,602","2,080,244,712","2,115,288,873",,,,"2,064,161,000","2,050,191,263.16"
		InvestmentsAndAdvances,"10,556,000",,,,,,"0","0","0","0","0","0","2,322,862,000","2,489,302,000","2,332,214,000","2,192,439,000","1,991,110,000","1,944,708,000","1,931,291,000","1,781,169,000","1,711,635,000","1,621,028,000","1,417,317,000","1,357,857,000","1,408,251,000","1,400,957,000","1,459,710,000","1,442,807,000","1,338,932,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"10,556,000",,,,,,"0","0","0","0","0","0","2,322,862,000","2,489,302,000","2,332,214,000","2,192,439,000","1,991,110,000","1,944,708,000","1,931,291,000","1,781,169,000","1,711,635,000","1,621,028,000","1,417,317,000","1,357,857,000","1,408,251,000","1,400,957,000","1,459,710,000","1,442,807,000","1,338,932,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,,,,,,,,,,,,,,,,,,,,,,"1,621,027,000","1,417,317,000","1,357,857,000","1,408,251,000","1,400,957,000","1,459,710,000","1,442,807,000","1,338,932,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,"10,556,000",,,,,,"0","0","0","0","0","0","2,322,862,000","2,489,302,000","2,332,214,000","2,192,439,000","1,991,110,000","1,944,708,000","1,931,291,000","1,781,169,000","1,711,635,000","1,621,028,000",,,,"1,400,957,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,"20,178,000","23,364,000","26,549,000","29,735,000","32,921,000","36,107,000",,,,,,,"1,734,114,000","1,886,546,000","2,037,551,000","1,926,753,000","1,862,448,000","1,851,423,000","1,841,032,000","1,694,362,000","1,635,849,000","1,567,608,000",,,,"1,348,555,000",,,,,,,,"73,082,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,,,,,,,,,,,,,,"1,567,608,000","1,493,621,000","1,421,074,000","1,356,097,000","1,348,555,000","1,338,004,000","1,314,093,000","1,239,151,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DuefromRelatedPartiesNonCurrent,,,,,,,"0","0","0","0","0","0","1,734,114,000","1,886,546,000","2,037,551,000","1,926,753,000","1,862,448,000","1,851,423,000","1,841,032,000","1,694,362,000","1,635,849,000","1,567,608,000",,,,"1,348,555,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,368,436,000","204,987,000","197,398,000","206,019,000","206,019,000","87,449,000","14,881,020,000","7,765,175,000","188,989,000","287,343,000","7,930,989,000","7,988,884,000","207,598,000","217,442,000","8,188,564,000","16,493,470,000","8,281,157,000","217,442,000",,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,368,436,000","204,987,000","0","0","0","87,449,000",,"188,985,000","0","287,343,000","0","0","0","217,442,000","210,525,000","210,525,000","210,525,000","217,442,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,427,260,000","15,398,487,000",,,"14,955,461,000","14,959,237,000","14,928,761,000","206,019,000",,,"7,607,838,000","3,658,731,000","29,523,000","30,680,000","7,829,826,000","3,128,619,000","232,917,000","-8,190,567,000","67,831,000",,"116,279,068.1","11,011,544,598.6","8,053,326,594",,"8,015,328,063.75","7,926,526,459.5","7,984,087,761.75","2,232,621,000","7,912,611,024","7,905,396,684.8","7,981,768,415.5","67,959,000","7,900,940,482.5","7,808,406,117","7,800,535,990",,"7,676,752,239","7,578,675,384","7,691,803,299",,"7,556,582,797.5","7,487,451,270",,"7,266,729,459.87"
TotalLiabilitiesNetMinorityInterest,"20,956,326,000","18,744,704,000","18,998,064,000","19,151,344,000","19,238,840,000","19,500,432,000","20,393,339,000","21,661,425,000","22,131,179,000","22,925,802,000","17,462,086,000","13,675,211,000","6,092,462,000","6,462,137,000","6,264,211,000","6,215,919,000","5,807,784,000","5,717,833,000","5,703,410,000","5,587,682,000","5,409,934,000","5,173,425,000","4,952,012,000","4,943,760,000","4,903,801,000","5,132,278,000","5,621,947,000","5,526,856,000","5,452,381,000","2,638,243,000","2,936,428,000","3,334,736,000","3,188,550,000","3,315,457,000","3,762,975,000","3,644,582,000","3,530,963,000","3,418,458,000","3,753,787,000","2,789,350,000","2,914,082,000","2,838,013,000","2,803,512,000","2,741,064,000","2,234,480,000","2,170,554,000","2,325,597,000","2,216,207,000","2,230,373,000","2,170,554,000","1,358,083,530","1,319,488,558.7","1,274,878,435.5","1,156,300,000","1,084,542,742.5","989,746,302.6","936,438,236.25","1,037,694,000","868,709,276.7","825,552,251.6","776,230,911.5","728,224,000","792,952,655","714,573,147","667,329,310","634,807,000","600,479,022","556,850,080","553,658,598","512,176,000","552,403,229.5","549,709,875","454,304,000","288,313,551.18"
	CurrentLiabilities,"2,816,204,000","2,560,020,000","2,201,166,000","2,386,353,000","2,389,197,000","2,408,222,000","2,018,879,000","2,377,554,000","2,516,721,000","2,408,649,000","5,211,397,000","1,226,827,000","661,444,000","593,183,000","598,304,000","698,377,000","599,909,000","506,695,000","512,085,000","697,874,000","548,511,000","401,643,000","431,162,000","505,109,000","466,357,000","667,968,000","985,192,000","901,346,000","878,226,000","694,980,000","767,536,000","1,102,608,000","1,010,425,000","738,614,000","1,096,744,000","919,161,000","655,062,000","496,660,000","745,303,000","536,704,000","478,388,000","399,482,000","326,621,000","329,119,000","289,181,000","317,002,000","388,619,000","219,447,000","276,039,000","317,002,000","222,476,388.9","228,487,165.4","261,181,768.5","245,341,000","226,222,290","194,881,277.25","198,736,453","352,863,000","169,713,083.7","175,397,108","175,627,820.5","191,728,000","171,402,380","147,853,060","141,423,370","155,934,000","136,097,247","113,611,176","111,311,082","122,815,000","121,454,853.5","79,052,805","80,670,000","75,686,390.81"
