name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
TotalCapitalization,"7,992,564,000","6,550,570,000","866,895,000","626,862,000","459,691,000","424,783,000"
CommonStockEquity,"7,992,564,000","6,550,570,000","866,895,000","626,862,000","459,691,000","424,783,000"
NetTangibleAssets,"7,403,011,000","6,244,956,000","708,027,000","540,754,000","411,072,000","396,332,000"
WorkingCapital,"7,655,333,000","6,331,306,000","708,986,000","551,589,000","408,226,000","393,248,000"
InvestedCapital,"7,992,564,000","6,550,570,000","866,895,000","832,066,000","459,691,000","424,783,000"
TangibleBookValue,"7,403,011,000","6,244,956,000","708,027,000","540,754,000","411,072,000","396,332,000"
TotalDebt,,,,"205,204,000",,
NetDebt,,,,"125,235,000",,
ShareIssued,"328,855,412","327,788,874","262,288,607","262,288,607","262,288,607","262,288,607"
OrdinarySharesNumber,"328,336,770","327,285,232","262,288,607","262,288,607","262,288,607","262,288,607"
TreasurySharesNumber,"518,642","503,642",,,,
