name,ttm,06/30/2019,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TaxProvision,"218,000,000",,"-435,000,000","139,000,000","217,000,000","145,000,000","14,000,000","141,000,000","23,000,000","-6,000,000","80,000,000","-48,000,000","28,000,000","101,000,000","-19,000,000","-33,000,000","88,000,000","96,000,000","179,000,000","-77,000,000","34,000,000","30,000,000","115,000,000","79,000,000","84,000,000","42,000,000","5,000,000","-76,000,000","69,000,000","46,000,000","34,000,000","-648,000,000","72,000,000","36,000,000","-20,000,000","-189,000,000","-177,000,000","-282,000,000","-96,000,000","-14,000,000","67,000,000","64,000,000","112,541,920","141,335,160","31,838,920","163,768,140","-4,485,140","277,086,420","164,234,700",,,,"174,286,000",,,,"147,125,470",,,,"129,750,690",,,,"28,351,680",,,,"239,783,600",,,,"205,510,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,000,000",,,,,,"2,000,000",,,,"9,000,000",,"684,174,680","688,609,200","650,565,180",,"956,777,040","811,006,590",,,,"685,580,000",,,,"542,473,800",,,,"559,060,020",,,,"175,172,880",,,,"822,115,200",,,,"707,289,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"1,151,000,000",,"1,062,000,000","434,000,000","499,000,000","343,000,000","288,000,000","322,000,000","-415,000,000","109,000,000","535,000,000","-561,000,000","318,000,000","280,000,000","-63,000,000","16,000,000","306,000,000","345,000,000","260,000,000","176,000,000","139,000,000","155,000,000","334,000,000","325,000,000","144,000,000","521,000,000","1,020,000,000","15,000,000","-74,000,000","-92,000,000","-149,000,000","-189,000,000","274,000,000","324,000,000","200,000,000","101,000,000","-161,000,000","-173,000,000","-1,483,000,000","-329,000,000","276,000,000","153,000,000","641,217,440","542,839,520","656,770,280","486,797,040","895,181,420","679,690,620","606,886,320","692,472,920","856,658,770","847,677,460","471,646,000","710,962,560","368,318,800","519,321,750","375,622,010","395,477,640","469,743,300","463,698,000","405,797,460","392,227,760","357,076,160","428,008,320","146,821,200","615,541,620","485,277,540","648,953,460","582,331,600","589,365,620","487,396,680","488,426,440","501,779,200","517,309,650","266,695,760","646,957,220","351,121,128","326,884,212","279,497,845","306,612,540","301,234,560","294,444,270","304,371,222","195,056,640","247,681,320","184,256,640","219,646,820","170,789,340","170,438,940","165,314,340","172,876,440","149,291,208","149,039,514","131,403,660","143,862,360","111,299,990","142,162,125","115,240,050","122,479,955","109,533,193","121,455,038","104,948,666","97,402,771","106,571,700","122,419,500","87,727,773","139,582,828","62,405,414","103,158,016","86,564,775","159,917,902","72,969,278","61,131,956","52,887,188","37,852,767","61,528,027","64,255,633","62,275,836","50,425,361","40,224,660","38,945,631","39,606,372","41,923,608","37,714,000","36,675,546","36,676,051","35,322,923","43,105,504","37,833,936","39,938,640","24,885,126","38,219,094"
	NetIncome,"1,239,000,000",,"1,093,000,000","469,000,000","529,000,000","378,000,000","321,000,000","358,000,000","-385,000,000","143,000,000","570,000,000","-524,000,000","350,000,000","316,000,000","-31,000,000","52,000,000","343,000,000","392,000,000","305,000,000","227,000,000","242,000,000","204,000,000","383,000,000","373,000,000","254,000,000","521,000,000","79,000,000","60,000,000","403,000,000","327,000,000","318,000,000","-189,000,000","413,000,000","371,000,000","530,000,000","101,000,000","-161,000,000","-173,000,000","-1,182,000,000","-329,000,000","276,000,000","153,000,000","641,217,440","542,839,520","656,770,280","486,797,040","814,660,580","679,690,620","646,771,890","692,472,920","854,658,770","847,677,460","511,294,000","710,962,560","368,318,800","519,321,750","395,348,330","395,477,640","469,743,300","463,698,000","429,309,330","392,227,760","357,076,160","428,008,320","146,821,200","615,541,620","485,277,540","648,953,460","582,331,600","589,365,620","487,396,680","488,426,440","501,779,200","517,309,650","266,695,760","646,957,220","351,121,128","326,884,212","279,497,845","306,612,540","301,234,560","294,444,270","304,371,222","195,056,640","247,681,320","184,256,640","219,646,820","170,789,340","170,438,940","165,314,340","172,876,440","149,291,208","149,039,514","131,403,660","143,862,360","111,299,990","142,162,125","115,240,050","122,479,955","109,533,193","121,455,038","104,948,666","97,402,771","106,571,700","122,419,500","87,727,773","139,582,828","62,405,414","103,158,016","86,564,775","159,917,902","72,969,278","61,131,956","52,887,188","37,852,767","61,528,027","64,255,633","62,275,836","50,425,361","40,224,660","38,945,631","39,606,372","41,923,608","37,714,000","36,675,546","36,676,051","35,322,923","43,105,504","37,833,936","39,938,640","24,885,126","38,219,094"
		NetIncomeIncludingNoncontrollingInterests,"1,239,000,000",,"1,094,000,000","469,000,000","529,000,000","378,000,000","322,000,000","358,000,000","-385,000,000","143,000,000","570,000,000","-524,000,000","350,000,000","316,000,000","-30,000,000","52,000,000","343,000,000","392,000,000","306,000,000","227,000,000","243,000,000","204,000,000","383,000,000","374,000,000","254,000,000","521,000,000","81,000,000","60,000,000","404,000,000","327,000,000","318,000,000","-189,000,000","413,000,000","372,000,000","530,000,000","101,000,000","-161,000,000","-173,000,000","-1,182,000,000","-329,000,000","276,000,000","162,000,000","641,217,440","542,839,520","656,770,280","486,797,040","814,660,580","679,690,620","646,771,890","692,472,920","852,658,770","847,677,460","511,294,000","710,962,560","368,318,800","519,321,750","395,348,330","395,477,640","469,743,300","463,698,000","429,309,330","392,227,760","357,076,160","428,008,320","146,821,200","615,541,620","485,277,540","648,953,460","582,331,600","589,365,620","487,396,680","488,426,440","501,779,200","517,309,650","266,695,760","646,957,220","351,121,128","326,884,212","279,497,845","306,612,540","301,234,560","294,444,270","304,371,222","195,056,640","247,681,320","184,256,640","219,646,820","170,789,340","170,438,940","165,314,340","172,876,440","149,291,208","149,039,514","131,403,660","143,862,360","111,299,990","142,162,125","115,240,050","122,479,955","109,533,193","121,455,038","104,948,666","97,402,771","106,571,700","122,419,500","87,727,773","139,582,828","62,405,414","103,158,016","86,564,775","159,917,902","72,969,278","61,131,956","52,887,188","37,852,767","61,528,027","64,255,633","62,275,836","50,425,361","40,224,660","38,945,631","39,606,372","41,923,608","37,714,000","36,675,546","36,676,051","35,322,923","43,105,504","37,833,936","39,938,640","24,885,126","38,219,094"
			NetIncomeContinuousOperations,"1,239,000,000",,"1,093,000,000","468,000,000","529,000,000","378,000,000","322,000,000","358,000,000","-385,000,000","144,000,000","569,000,000","-524,000,000","350,000,000","317,000,000","-30,000,000","52,000,000","343,000,000","392,000,000","307,000,000","227,000,000","243,000,000","204,000,000","383,000,000","374,000,000","254,000,000","521,000,000","81,000,000","60,000,000","404,000,000","327,000,000","318,000,000","-189,000,000","413,000,000","372,000,000","530,000,000","101,000,000","-161,000,000","-173,000,000","-1,182,000,000","-329,000,000","276,000,000","162,000,000","641,217,440","542,839,520","656,770,280","486,797,040","814,660,580","679,690,620","646,771,890","692,472,920","856,658,770","847,677,460","511,294,000","710,962,560","1,088,318,800","519,321,750","395,348,330","395,477,640","469,743,300","463,698,000","429,309,330","392,227,760","357,076,160","428,008,320","146,821,200","615,541,620","485,277,540","648,953,460","582,331,600","589,365,620","487,396,680","488,426,440","501,779,200","517,309,650","266,695,760","646,957,220","351,121,128","326,884,212","279,497,845","306,612,540","301,234,560","294,444,270","304,371,222","195,056,640","247,681,320","184,256,640","219,646,820","170,789,340","170,438,940","165,314,340","172,876,440","149,291,208","149,039,514","131,403,660","143,862,360","111,299,990","142,162,125","115,240,050","122,479,955","109,533,193","121,455,038","104,948,666","97,402,771","106,571,700","122,419,500","87,727,773","139,582,828","62,405,414","103,158,016","86,564,775","159,917,902","72,969,278","61,131,956","52,887,188","37,852,767","61,528,027","64,255,633","62,275,836","50,425,361","40,224,660","38,945,631","39,606,372","41,923,608","37,714,000","36,675,546","36,676,051","35,322,923","43,105,504","37,833,936","39,938,640","24,885,126","38,219,094"
		MinorityInterests,"0",,"0","0","0","0","0",,"0","0","-1,000,000","0","0",,"-1,000,000","0","0","0","-2,000,000","0","-1,000,000","0","0","-1,000,000","0","0","-2,000,000","0","-1,000,000","0","0","0","0","-1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,"0",,"83,000,000",,,,"59,000,000",,,,"59,000,000",,,,"90,000,000",,"0",,,,,,,,,,,,,,"39,885,570",,,,"39,648,000",,,,"19,726,320",,,,"23,511,870",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"88,000,000",,"31,000,000","35,000,000","30,000,000","35,000,000","33,000,000","36,000,000","30,000,000","34,000,000","35,000,000","37,000,000","32,000,000","36,000,000","32,000,000","36,000,000","37,000,000","47,000,000","45,000,000","51,000,000","20,000,000","49,000,000","-10,000,000","48,000,000","51,000,000",,,"45,000,000","418,000,000","419,000,000",,,"49,000,000","47,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"1,151,000,000",,"1,062,000,000","434,000,000","499,000,000","343,000,000","288,000,000","322,000,000","-415,000,000","109,000,000","535,000,000","-561,000,000","318,000,000","280,000,000","-63,000,000","16,000,000","306,000,000","345,000,000","260,000,000","176,000,000","139,000,000","155,000,000","334,000,000","325,000,000","144,000,000","521,000,000","1,020,000,000","15,000,000","-74,000,000","-92,000,000","-149,000,000","-189,000,000","274,000,000","324,000,000","200,000,000","101,000,000","-161,000,000","-173,000,000","-1,483,000,000","-329,000,000","276,000,000","153,000,000","641,217,440","542,839,520","656,770,280","486,797,040","895,181,420","679,690,620","606,886,320","692,472,920","856,658,770","847,677,460","471,646,000","710,962,560","368,318,800","519,321,750","375,622,010","395,477,640","469,743,300","463,698,000","405,797,460","392,227,760","357,076,160","428,008,320","146,821,200","615,541,620","485,277,540","648,953,460","582,331,600","589,365,620","487,396,680","488,426,440","501,779,200","517,309,650","266,695,760","646,957,220","351,121,128","326,884,212","279,497,845","306,612,540","301,234,560","294,444,270","304,371,222","195,056,640","247,681,320","184,256,640","219,646,820","170,789,340","170,438,940","165,314,340","172,876,440","149,291,208","149,039,514","131,403,660","143,862,360","111,299,990","142,162,125","115,240,050","122,479,955","109,533,193","121,455,038","104,948,666","97,402,771","106,571,700","122,419,500","87,727,773","139,582,828","62,405,414","103,158,016","86,564,775","159,917,902","72,969,278","61,131,956","52,887,188","37,852,767","61,528,027","64,255,633","62,275,836","50,425,361","40,224,660","38,945,631","39,606,372","41,923,608","37,714,000","36,675,546","36,676,051","35,322,923","43,105,504","37,833,936","39,938,640","24,885,126","38,219,094"
BasicEPS,,"0","0.46","0.21","0.24","0.17","0.21","0.16","-0.2","0.05","0.21","-0.26","0.15","0.13","0.17","0.01","0.15","0.16","0.06","0.08","0.07","0.08","0.19","0.17","0.08","0.25",,"0.01","-0.04","-0.05",,"-0.11","0.16","0.19",,"0.06","-0.21","-0.15",,"-0.25","0.08","0.07",,"0.311","0.341","0.281",,"0.399","0.365","0.447",,"0.502","0.309","0.409",,"0.327","0.25","0.25",,"0.289","0.265","0.24",,"0.288","0.106","0.423",,"0.45","0.42","0.424",,"0.36","0.351","0.382",,"0.47","0.299","0.276",,"0.255","0.24","0.246",,"0.182","0.214","0.172",,"0.158","0.157","0.152",,"0.14","0.136","0.121",,"0.092","0.102","0.107",,"0.105","0.117","0.103",,"0.104","0.12","0.089",,"0.065","0.116","0.101",,"0.085","0.074","0.066",,"0.101","0.106","0.102",,"0.055","0.054","0.057",,"0.054","0.054","0.053",,"0.06","0.054","0.057",,"0.053"
DilutedEPS,,"0","0.46","0.21","0.24","0.17","0.21","0.16","-0.2","0.05","0.21","-0.26","0.15","0.13","0.17","0.01","0.15","0.16","0.06","0.08","0.07","0.08","0.19","0.17","0.08","0.25",,"0.01","-0.04","-0.05",,"-0.11","0.16","0.19",,"0.06","-0.21","-0.15",,"-0.25","0.08","0.07",,"0.311","0.341","0.281",,"0.399","0.365","0.447",,"0.502","0.309","0.409",,"0.327","0.25","0.25",,"0.289","0.265","0.24",,"0.288","0.106","0.423",,"0.45","0.42","0.424",,"0.36","0.351","0.372",,"0.434","0.299","0.276",,"0.255","0.24","0.246",,"0.174","0.214","0.164",,"0.15","0.15","0.145",,"0.14","0.136","0.121",,"0.084","0.102","0.107",,"0.105","0.109","0.095",,"0.104","0.12","0.081",,"0.065","0.107","0.092",,"0.077","0.066","0.058",,"0.092","0.096","0.093",,"0.055","0.054","0.049",,"0.054","0.054","0.053",,"0.06","0.054","0.057",,"0.053"
