name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
			CurrentAccruedExpenses,"516,497,000","420,444,000","453,536,000","366,826,000","382,132,000","310,240,000","329,426,000","281,122,000","309,182,000","232,399,000","274,353,000","223,374,000","256,775,000","235,227,000","227,216,000","192,389,000","215,983,000","168,558,000","362,250,000","250,068,000","190,952,000","160,755,000","170,758,000","146,177,000","131,223,000","123,604,000","112,675,000","104,045,000","90,169,000",,,,,,,
				InterestPayable,"516,497,000","420,444,000","453,536,000","366,826,000","382,132,000","310,240,000","329,426,000","281,122,000","309,182,000","232,399,000","274,353,000","223,374,000","256,775,000","235,227,000","227,216,000","192,389,000","215,983,000","168,558,000","362,250,000","250,068,000","190,952,000","160,755,000","170,758,000","146,177,000","131,223,000","123,604,000","112,675,000","104,045,000","90,169,000",,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"15,569,114,000","15,727,084,000","14,730,928,000","13,638,292,000","13,292,776,000","12,778,145,000","12,588,179,000","11,437,101,000","11,177,540,000","11,013,665,000","11,028,840,000","10,794,434,000","10,336,654,000","10,157,391,000","9,917,425,000","9,486,618,000","9,119,203,000","8,803,688,000","8,442,095,000","8,109,986,000","7,811,770,000","7,689,718,000","7,249,600,000","6,823,620,000","6,677,947,000","6,223,891,000","5,915,969,000","5,476,512,000","4,930,834,000","4,784,566,000","4,485,493,000","4,023,062,000","2,933,662,000","2,059,590,000","1,598,165,000","1,526,557,000"
		LongTermProvisions,"1,097,061,000","1,091,073,000","1,035,754,000","971,397,000","990,578,000","962,904,000","933,309,000","894,323,000","856,140,000","850,363,000","851,220,000","874,206,000","856,335,000","886,229,000","868,101,000","865,206,000","853,330,000","802,226,000","763,765,000","744,118,000","698,172,000","680,441,000","639,560,000","593,329,000","569,847,000","539,975,000","502,164,000","453,922,000","412,223,000",,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"13,578,866,000","13,751,872,000","12,859,244,000","11,869,671,000","11,538,905,000","11,094,337,000","10,962,446,000","9,887,499,000","9,698,785,000","9,237,320,000","9,303,312,000","9,102,689,000","8,713,874,000","8,554,732,000","8,390,466,000","8,017,501,000","7,712,421,000","7,498,240,000","7,220,460,000","6,954,802,000","6,714,362,000","6,646,635,000","6,284,177,000","5,943,096,000","5,853,317,000","5,466,278,000","5,226,342,000","4,861,201,000","4,384,732,000","4,296,076,000","4,046,786,000","3,657,632,000","2,602,799,000","1,802,648,000","1,383,570,000","1,374,820,000"
			LongTermDebt,"13,578,866,000","13,751,872,000","12,859,244,000","11,869,671,000","11,538,905,000","11,094,337,000","10,962,446,000","9,887,499,000","9,698,785,000","9,237,320,000","9,303,312,000","9,102,689,000","8,713,874,000","8,554,732,000","8,390,466,000","8,017,501,000","7,712,421,000","7,498,240,000","7,220,460,000","6,954,802,000","6,714,362,000","6,646,635,000","6,284,177,000","5,943,096,000","5,853,317,000","5,466,278,000","5,226,342,000","4,861,201,000","4,384,732,000","4,296,076,000","4,046,786,000","3,657,632,000","2,602,799,000","1,802,648,000","1,383,570,000","1,374,820,000"
		NonCurrentDeferredLiabilities,"893,187,000","884,139,000","835,930,000","797,224,000","763,293,000","720,904,000","692,424,000","655,279,000","622,615,000","925,982,000","874,308,000","817,539,000","766,445,000","716,430,000","658,858,000","603,911,000","553,452,000","503,222,000","457,870,000","411,066,000","399,236,000","362,642,000","325,863,000","287,195,000","254,783,000","217,638,000","187,463,000","161,389,000","133,879,000","108,218,000","87,801,000","66,013,000","46,709,000","24,126,000","15,205,000","11,555,000"
			NonCurrentDeferredTaxesLiabilities,"749,495,000","749,504,000","711,788,000","680,567,000","643,767,000","611,748,000","580,273,000","548,435,000","517,795,000","823,540,000","768,980,000","714,907,000","667,060,000","615,012,000","563,817,000","513,630,000","461,967,000","418,592,000","376,055,000","334,001,000","323,359,000","294,062,000","260,218,000","226,575,000","193,263,000","164,049,000","137,739,000","114,418,000","92,742,000","71,265,000","51,083,000","35,371,000","20,692,000","6,809,000",,
			NonCurrentDeferredRevenue,"143,692,000","134,635,000","124,142,000","116,657,000","119,526,000","109,156,000","112,151,000","106,844,000","104,820,000","102,442,000","105,328,000","102,632,000","99,385,000","101,418,000","95,041,000","90,281,000","91,485,000","84,630,000","81,815,000","77,065,000","75,877,000","68,580,000","65,645,000","60,620,000","61,520,000","53,589,000","49,724,000","46,971,000","41,137,000","36,953,000","36,718,000","30,642,000","26,017,000","17,317,000","15,205,000","11,555,000"
		OtherNonCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"380,272,000","350,906,000","299,417,000","284,154,000","232,816,000","199,390,000","140,182,000"
TotalEquityGrossMinorityInterest,"5,623,544,000","5,462,173,000","5,299,884,000","5,173,817,000","4,806,900,000","4,478,918,000","4,337,842,000","4,226,623,000","4,127,442,000","3,655,583,000","3,558,204,000","3,459,232,000","3,382,187,000","3,288,289,000","3,195,529,000","3,104,403,000","3,019,912,000","2,939,448,000","2,861,861,000","2,785,184,000","2,772,062,000","2,695,090,000","2,631,758,000","2,583,508,000","2,523,434,000","2,460,806,000","2,411,027,000","2,375,118,000","2,332,621,000","2,285,672,000","2,240,850,000","2,211,427,000","2,176,283,000","2,143,288,000","2,126,348,000","1,239,019,000"
	StockholdersEquity,"5,623,544,000","5,462,173,000","5,299,884,000","5,173,817,000","4,806,900,000","4,478,918,000","4,337,842,000","4,226,623,000","4,127,442,000","3,655,583,000","3,558,204,000","3,459,232,000","3,382,187,000","3,288,289,000","3,195,529,000","3,104,403,000","3,019,912,000","2,939,448,000","2,861,861,000","2,785,184,000","2,772,062,000","2,695,090,000","2,631,758,000","2,583,508,000","2,523,434,000","2,460,806,000","2,411,027,000","2,375,118,000","2,332,621,000","2,285,672,000","2,240,850,000","2,211,427,000","2,176,283,000","2,143,288,000","2,126,348,000","1,239,019,000"
		CapitalStock,"1,234,000","1,227,000","1,217,000","1,211,000","1,110,000","1,041,000","1,041,000","1,040,000","1,036,000","1,032,000","1,012,000","1,012,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,009,000","1,009,000","1,009,000","1,009,000","1,009,000","1,009,000","1,009,000","1,009,000","1,002,000","1,002,000","1,002,000","1,002,000","654,000"
			PreferredStock,"100,000","100,000","100,000","100,000","0","0","0","0","0",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
			CommonStock,"1,134,000","1,127,000","1,117,000","1,111,000","1,110,000","1,041,000","1,041,000","1,040,000","1,036,000","1,032,000","1,012,000","1,012,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,010,000","1,009,000","1,009,000","1,009,000","1,009,000","1,009,000","1,009,000","1,009,000","1,009,000","1,002,000","1,002,000","1,002,000","1,002,000","654,000"
		AdditionalPaidInCapital,"2,777,601,000","2,758,928,000","2,733,948,000","2,717,405,000","2,474,238,000","2,270,302,000","2,265,393,000","2,258,987,000","2,260,064,000","2,248,950,000","2,243,038,000","2,237,250,000","2,237,866,000","2,233,242,000","2,228,617,000","2,224,151,000","2,227,376,000","2,222,682,000","2,218,034,000","2,213,370,000","2,215,479,000","2,204,543,000","2,200,572,000","2,211,302,000","2,209,566,000","2,202,731,000","2,198,986,000","2,203,534,000","2,198,501,000","2,191,361,000","2,183,550,000","2,182,306,000","2,174,089,000","2,165,856,000","2,167,187,000","1,287,229,000"
		RetainedEarnings,"2,846,106,000","2,702,018,000","2,564,719,000","2,455,201,000","2,331,552,000","2,207,575,000","2,071,408,000","1,966,596,000","1,866,342,000","1,405,601,000","1,314,154,000","1,220,970,000","1,143,311,000","1,054,037,000","965,902,000","879,242,000","791,526,000","715,756,000","642,817,000","570,804,000","555,573,000","489,537,000","430,176,000","371,197,000","312,859,000","257,066,000","211,032,000","170,575,000","133,111,000","93,302,000","56,291,000","28,119,000","1,192,000","-23,570,000","-41,841,000","-48,864,000"
		GainsLossesNotAffectingRetainedEarnings,"-1,397,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalCapitalization,"19,202,410,000","19,214,045,000","18,159,128,000","17,043,488,000","16,345,805,000","15,573,255,000","15,300,288,000","14,114,122,000","13,826,227,000","12,892,903,000","12,861,516,000","12,561,921,000","12,096,061,000","11,843,021,000","11,585,995,000","11,121,904,000","10,732,333,000","10,437,688,000","10,082,321,000","9,739,986,000","9,486,424,000","9,341,725,000","8,915,935,000","8,526,604,000","8,376,751,000","7,927,084,000","7,637,369,000","7,236,319,000","6,717,353,000","6,581,748,000","6,287,636,000","5,869,059,000","4,779,082,000","3,945,936,000","3,509,918,000","2,613,839,000"
PreferredStockEquity,"100,000","100,000","100,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockEquity,"5,623,444,000","5,462,073,000","5,299,784,000","5,173,717,000","4,806,900,000","4,478,918,000","4,337,842,000","4,226,623,000","4,127,442,000","3,655,583,000","3,558,204,000","3,459,232,000","3,382,187,000","3,288,289,000","3,195,529,000","3,104,403,000","3,019,912,000","2,939,448,000","2,861,861,000","2,785,184,000","2,772,062,000","2,695,090,000","2,631,758,000","2,583,508,000","2,523,434,000","2,460,806,000","2,411,027,000","2,375,118,000","2,332,621,000","2,285,672,000","2,240,850,000","2,211,427,000","2,176,283,000","2,143,288,000","2,126,348,000","1,239,019,000"
NetTangibleAssets,"5,623,544,000","5,462,173,000","5,299,884,000","5,173,817,000","4,806,900,000","4,478,918,000","4,337,842,000","4,226,623,000","4,127,442,000","3,655,583,000","3,558,204,000","3,459,232,000","3,382,187,000","3,288,289,000","3,195,529,000","3,104,403,000","3,019,912,000","2,939,448,000","2,861,861,000","2,785,184,000","2,772,062,000","2,695,090,000","2,631,758,000","2,583,508,000","2,523,434,000","2,460,806,000","2,411,027,000","2,375,118,000","2,332,621,000","2,285,672,000","2,240,850,000","2,211,427,000","2,176,283,000","2,143,288,000","2,126,348,000","1,239,019,000"
WorkingCapital,"1,365,179,000","1,472,287,000","1,505,287,000","1,789,977,000","1,727,255,000","1,491,991,000","1,485,511,000","1,539,059,000","1,545,798,000","1,545,370,000","1,405,806,000","1,264,077,000","1,308,703,000","1,220,321,000","1,078,300,000","1,050,115,000","1,011,727,000","1,035,239,000","825,684,000","1,107,725,000","1,236,470,000","1,192,878,000","1,250,407,000","1,290,072,000","1,213,973,000","1,064,750,000","983,027,000","890,050,000","704,638,000","456,225,000","419,602,000","863,504,000","323,314,000","310,327,000","484,914,000","269,295,000"
InvestedCapital,"19,202,310,000","19,213,945,000","18,159,028,000","17,043,388,000","16,345,805,000","15,573,255,000","15,300,288,000","14,114,122,000","13,826,227,000","12,892,903,000","12,861,516,000","12,561,921,000","12,096,061,000","11,843,021,000","11,585,995,000","11,121,904,000","10,732,333,000","10,437,688,000","10,082,321,000","9,739,986,000","9,486,424,000","9,341,725,000","8,915,935,000","8,526,604,000","8,376,751,000","7,927,084,000","7,637,369,000","7,236,319,000","6,717,353,000","6,581,748,000","6,287,636,000","5,869,059,000","4,779,082,000","3,945,936,000","3,509,918,000","2,613,839,000"
TangibleBookValue,"5,623,444,000","5,462,073,000","5,299,784,000","5,173,717,000","4,806,900,000","4,478,918,000","4,337,842,000","4,226,623,000","4,127,442,000","3,655,583,000","3,558,204,000","3,459,232,000","3,382,187,000","3,288,289,000","3,195,529,000","3,104,403,000","3,019,912,000","2,939,448,000","2,861,861,000","2,785,184,000","2,772,062,000","2,695,090,000","2,631,758,000","2,583,508,000","2,523,434,000","2,460,806,000","2,411,027,000","2,375,118,000","2,332,621,000","2,285,672,000","2,240,850,000","2,211,427,000","2,176,283,000","2,143,288,000","2,126,348,000","1,239,019,000"
TotalDebt,"13,578,866,000","13,751,872,000","12,859,244,000","11,869,671,000","11,538,905,000","11,094,337,000","10,962,446,000","9,887,499,000","9,698,785,000","9,237,320,000","9,303,312,000","9,102,689,000","8,713,874,000","8,554,732,000","8,390,466,000","8,017,501,000","7,712,421,000","7,498,240,000","7,220,460,000","6,954,802,000","6,714,362,000","6,646,635,000","6,284,177,000","5,943,096,000","5,853,317,000","5,466,278,000","5,226,342,000","4,861,201,000","4,384,732,000","4,296,076,000","4,046,786,000","3,657,632,000","2,602,799,000","1,802,648,000","1,383,570,000","1,374,820,000"
NetDebt,"13,261,378,000","13,460,100,000","12,595,186,000","11,583,956,000","11,238,778,000","10,865,835,000","10,702,916,000","9,635,008,000","9,406,581,000","9,011,301,000","9,063,602,000","8,946,931,000","8,439,072,000","8,327,910,000","8,217,732,000","7,854,687,000","7,555,746,000","7,378,518,000","7,057,471,000","6,744,646,000","6,431,543,000","6,435,964,000","6,039,730,000","5,687,018,000","5,583,144,000","5,244,598,000","4,992,043,000","4,643,578,000","4,154,643,000","3,856,395,000","3,658,199,000","2,854,366,000","2,320,994,000","1,523,001,000","938,532,000","1,144,507,000"
ShareIssued,"113,350,267","112,701,349","111,666,126","111,118,169","110,949,850","104,068,079","104,065,045","103,979,834","103,621,629","103,239,538","103,211,434","103,163,730","102,844,477","102,843,309","102,842,461","102,829,369","102,582,669","102,580,955","102,580,955","102,558,529","102,392,208","102,385,013","102,382,073","101,916,736","101,822,676","101,754,302","101,753,727","101,284,678","101,247,337","101,247,337","101,247,337","100,717,732","100,714,470","100,714,470","100,714,470","93,846,830"
OrdinarySharesNumber,"113,350,267","112,701,349","111,666,126","111,118,169","110,949,850","104,068,079","104,065,045","103,979,834","103,621,629","103,239,538","103,211,434","103,163,730","102,844,477","102,843,309","102,842,461","102,829,369","102,582,669","102,580,955","102,580,955","102,558,529","102,392,208","102,385,013","102,382,073","101,916,736","101,822,676","101,754,302","101,753,727","101,284,678","101,247,337","101,247,337","101,247,337","100,717,732","100,714,470","100,714,470","100,714,470","93,846,830"
PreferredSharesNumber,"10,000,000","10,000,000","10,000,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
