name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
		NetIncomeIncludingNoncontrollingInterests,"194,836,000","131,258,000","24,284,000","-138,469,000","112,630,000","117,047,000","-23,470,000","-41,529,000","-59,114,000","-59,547,000"
			NetIncomeContinuousOperations,"194,836,000","131,258,000","24,284,000","-138,469,000","112,630,000","117,047,000","-23,470,000","-41,529,000","-59,114,000","-59,547,000"
	OtherunderPreferredStockDividend,,,,,"0","0","3,750,000","-36,139,000","500,000","4,500,000"
DilutedNIAvailtoComStockholders,"194,836,000","131,258,000","24,284,000","-138,469,000","112,630,000","117,047,000","-27,220,000","-5,390,000","-59,614,000","-64,047,000"
BasicEPS,,,"0.23","-1.85","2.08","2.02","-0.51","-0.09","-1.149","-1.234"
DilutedEPS,,,"0.23","-1.85","2.03","1.95","-0.51","-0.09","-1.149","-1.234"
BasicAverageShares,,,"103,414,000","74,913,000","54,031,000","57,888,000","53,301,000","60,117,000","51,900,000","51,900,000"
DilutedAverageShares,,,"104,701,000","74,913,000","55,610,000","60,146,000","53,301,000","60,117,000","52,215,000","52,215,000"
TotalOperatingIncomeAsReported,"259,905,000","237,754,000","160,182,000","-28,866,000","155,359,000","152,360,000","63,644,000","31,458,000","-37,530,000","-40,195,000"
TotalExpenses,"4,371,623,000","4,334,651,000","4,114,300,000","2,513,800,000","1,438,482,000","1,239,526,000","1,083,816,000","951,296,000","866,750,000","658,020,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"194,836,000","131,258,000","24,284,000","-138,469,000","112,630,000","117,047,000","-23,470,000","-41,529,000","-59,114,000","-59,547,000"
NormalizedIncome,"235,912,600","215,962,820","92,298,100","709,978","131,420,141.89","128,199,056.996","28,683,428.946","-32,745,338","-35,365,863","-48,842,184"
InterestIncome,"6,376,000","7,542,000","3,686,000","1,182,000","216,000","192,000","249,000","310,000","239,000","151,000"
InterestExpense,"121,648,000","129,820,000","130,701,000","63,725,000","12,016,000","15,640,000","53,036,000","60,799,000","62,246,000","65,633,000"
NetInterestIncome,"-115,272,000","-122,278,000","-127,015,000","-62,543,000","-14,943,000","-17,085,000","-60,689,000","-60,997,000","-62,007,000","-75,804,000"
EBIT,"284,720,000","231,529,000","187,959,000","-48,152,000","146,134,000","146,614,000","24,832,000","30,119,000","-32,612,000","-28,525,000"
EBITDA,"522,092,000"
ReconciledCostOfRevenue,"3,683,117,000","3,645,905,000","3,434,310,000","2,051,244,000","1,206,892,000","1,026,903,000","884,130,000","774,933,000","678,511,000","498,821,000"
ReconciledDepreciation,"237,372,000","242,465,000","273,685,000","179,936,000","59,204,000","56,014,000","54,543,000","58,473,000","78,811,000","64,136,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"194,836,000","131,258,000","24,284,000","-138,469,000","112,630,000","117,047,000","-23,470,000","-41,529,000","-59,114,000","-59,547,000"
TotalUnusualItemsExcludingGoodwill,"-68,461,000","-116,034,000","-93,170,000","-206,497,000","-22,375,000","-12,479,000","-62,673,000","-13,597,000","-38,119,000","-16,938,000"
TotalUnusualItems,"-68,461,000","-116,034,000","-93,170,000","-206,497,000","-22,375,000","-12,479,000","-62,673,000","-13,597,000","-38,119,000","-16,938,000"
NormalizedEBITDA,"590,553,000","590,028,000","554,814,000","338,281,000","227,713,000","215,107,000","142,048,000","102,189,000","84,318,000","52,549,000"
TaxRateForCalcs,"0.4","0.27","0.27","0.326","0.16","0.106","0.168","0.354","0.377","0.368"
TaxEffectOfUnusualItems,"-27,384,400","-31,329,180","-25,155,900","-67,318,022","-3,584,858.11","-1,326,943.004","-10,519,571.054","-4,813,338","-14,370,863","-6,233,184"
