name,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,02/28/2010
TotalEquityGrossMinorityInterest,"2,544,197,000","2,630,823,000","2,554,585,000","2,583,152,000","2,530,477,000","1,809,276,000","1,874,906,000","1,818,802,000","1,640,463,398","984,840,737","914,485,196","716,053,513","680,864,331","639,411,657","641,896,587","556,878,351","440,737,487","421,450,361","406,147,925","342,133,274","313,570,816","304,139,432","288,333,519","251,430,254","259,996,401","244,087,458","228,770,531","203,374,738","191,445,279","182,716,048","212,120,669","196,205,550","190,117,291","180,037,517","177,161,967","162,959,484","155,051,224","143,375,843","11,280,747","17,926,071"
	StockholdersEquity,"2,515,736,000","2,594,126,000","2,513,596,000","2,540,600,000","2,483,747,000","1,791,525,000","1,856,714,000","1,798,806,000","1,620,747,787","965,379,246","878,724,309","680,511,799","644,244,906","602,114,706","593,673,371","553,465,542","436,979,903","421,195,336","405,874,862","341,863,799","313,292,575","303,866,703","288,040,004","251,145,365","259,996,401","244,087,458","228,770,531","203,374,738","191,445,279","182,716,048","212,120,669","196,205,550","190,117,291","180,037,517","177,161,967","162,959,484","155,051,224","143,375,843","11,280,747","17,926,071"
		CapitalStock,"200,000","199,000","198,000","198,000","198,000","191,000","191,000","190,000","188,958","180,826","177,144","166,950","164,587","162,954","162,805","161,766","161,766","160,028","160,019","159,828","159,828","158,656","158,624","157,735","157,735","157,031","157,019","156,120","156,120","156,120","155,726","154,958","154,958","154,958","154,958","152,600","152,600",,"125,000","120,000"
			CommonStock,"200,000","199,000","198,000","198,000","198,000","191,000","191,000","190,000","188,958","180,826","177,144","166,950","164,587","162,954","162,805","161,766","161,766","160,028","160,019","159,828","159,828","158,656","158,624","157,735","157,735","157,031","157,019","156,120","156,120","156,120","155,726","154,958","154,958","154,958","154,958","152,600","152,600",,"125,000","120,000"
		AdditionalPaidInCapital,"1,675,640,000","1,642,850,000","1,612,095,000","1,583,360,000","1,485,521,000","946,112,000","924,059,000","900,801,000","884,716,838","357,167,852","298,062,275","183,316,016","141,968,264","143,715,665","131,707,998","116,797,162","108,404,873","98,884,982","92,435,247","87,545,327","82,479,806","82,658,366","77,756,283","73,818,627","92,664,436","91,666,668","89,600,473","87,906,800","86,016,387","84,293,335","121,548,380","121,998,879","119,769,989","118,333,018","116,887,751","114,543,157","112,055,718",,"-19,305,497","779,641"
		RetainedEarnings,"786,097,000","926,787,000","898,610,000","913,010,000","920,314,000","841,077,000","717,243,000","640,253,000","565,201,532","505,570,942","464,909,105","405,458,101","417,835,502","382,777,137","375,357,424","319,617,157","306,381,011","299,542,054","289,957,444","226,476,386","207,522,766","197,739,348","186,780,286","157,662,321","144,311,994","130,326,867","117,817,653","94,488,268","86,430,705","81,371,838","75,772,635","59,730,575","54,779,267","49,459,106","48,017,259","37,303,652","32,727,630",,"25,315,575","12,069,734"
		GainsLossesNotAffectingRetainedEarnings,"53,799,000","24,290,000","2,693,000","42,055,000","75,737,000","2,419,000","215,221,000","257,562,000","170,640,459","102,459,626","115,575,785","91,570,732","84,276,553","75,458,950","86,445,144","116,889,457","22,032,253","22,608,272","23,322,152","27,682,258","23,130,175","23,310,333","23,344,811","19,506,682","22,862,236","21,936,892","21,195,386","20,823,550","18,842,067","16,894,755","4,141,215","3,818,425","4,910,364","3,849,738","3,861,302","2,719,378","1,874,579",,"288,226","219,253"
			OtherEquityAdjustments,"53,799,000","24,290,000","2,693,000","42,055,000","75,737,000","2,419,000","215,221,000","257,562,000","170,640,459","102,459,626","115,575,785","91,570,732","84,276,553","75,458,950","86,445,144","116,889,457","22,032,253","22,608,272","23,322,152","27,682,258","23,130,175","23,310,333","23,344,811","19,506,682","22,862,236","21,936,892","21,195,386","20,823,550","18,842,067","16,894,755",,,,,,,,,,
		OtherEquityInterest,,,,"1,977,000","1,977,000","1,726,000",,,,,,,,,,,,,,,,,,,,,,,,,"10,502,713","10,502,713","10,502,713","8,240,697","8,240,697","8,240,697","8,240,697",,"4,857,443","4,737,443"
	MinorityInterest,"28,461,000","36,697,000","40,989,000","42,552,000","46,730,000","17,751,000","18,192,000","19,996,000","19,715,611","19,461,491","35,760,887","35,541,714","36,619,425","37,296,951","48,223,216","3,412,809","3,757,584","255,025","273,063","269,475","278,241","272,729","293,515","284,889",,,,,,,,,,,,,,,,
TotalCapitalization,"2,777,686,000","2,855,026,000","2,513,596,000","2,540,600,000","2,483,747,000","1,791,525,000","1,856,714,000","2,034,181,000","1,856,822,787","1,214,887,246","1,175,732,309","1,100,631,799","1,094,393,824","861,309,878","847,413,979","781,743,317","664,807,204","648,573,407","632,809,815","568,356,857","539,354,581","529,494,071","513,339,695","475,954,834","259,996,401","244,087,458","228,770,531","203,374,738","191,445,279","182,716,048","212,120,669","196,205,550","190,117,291","180,037,517","177,161,967","162,959,484","155,051,224","143,375,843","11,280,747","17,926,071"
CommonStockEquity,"2,515,736,000","2,594,126,000","2,513,596,000","2,540,600,000","2,483,747,000","1,791,525,000","1,856,714,000","1,798,806,000","1,620,747,787","965,379,246","878,724,309","680,511,799","644,244,906","602,114,706","593,673,371","553,465,542","436,979,903","421,195,336","405,874,862","341,863,799","313,292,575","303,866,703","288,040,004","251,145,365","259,996,401","244,087,458","228,770,531","203,374,738","191,445,279","182,716,048","212,120,669","196,205,550","190,117,291","180,037,517","177,161,967","162,959,484","155,051,224","143,375,843","11,280,747","17,926,071"
CapitalLeaseObligations,"1,254,879,000","1,128,781,000","1,086,194,000","1,069,160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"1,872,985,000","1,921,911,000","1,844,908,000","2,050,748,000","1,994,743,000","1,424,562,000","1,519,217,000","1,447,921,000","1,285,860,878","640,760,348","550,612,230","372,414,028","339,115,413","302,510,549","347,409,138","451,926,179","334,762,965","405,761,354","390,215,532","325,891,537","297,274,994","293,376,639","277,367,717","240,325,196","249,950,984","242,093,171","226,673,838","201,174,058","189,165,641","180,405,294","209,786,033","194,737,569","189,384,943","179,284,171","176,292,925","161,793,142","153,731,856","141,908,368","9,489,499","15,773,109"
WorkingCapital,"689,223,000","819,245,000","450,274,000","461,800,000","561,998,000","212,195,000","284,247,000","484,414,000","528,619,104","105,953,373","138,422,515","147,532,100","203,980,662","-73,929,679","46,598,271","132,984,946","132,696,147","197,581,554","255,429,748","300,610,636","306,877,511","310,970,231","351,985,627","343,786,220","133,620,296","150,684,151","137,372,220","113,034,126","101,940,888","96,530,958","126,460,684","110,726,517","105,855,910","98,672,576","159,875,736","148,808,971","142,848,090","132,114,113","2,109,636","18,002,713"
InvestedCapital,"2,777,686,000","2,855,026,000","2,513,596,000","2,540,600,000","2,699,049,000","2,036,176,000","2,101,630,000","2,034,181,000","1,856,822,787","1,214,887,246","1,175,732,309","1,100,631,799","1,094,393,824","861,309,878","847,413,979","781,743,317","664,807,204","648,573,407","632,809,815","568,356,857","539,354,581","529,494,071","513,339,695","475,954,834","259,996,401","244,087,458","228,770,531","203,374,738","191,445,279","182,716,048","212,120,669","196,205,550","190,117,291","180,037,517","177,161,967","162,959,484","155,051,224","143,375,843","11,280,747","17,926,071"
TangibleBookValue,"1,872,985,000","1,921,911,000","1,844,908,000","2,050,748,000","1,994,743,000","1,424,562,000","1,519,217,000","1,447,921,000","1,285,860,878","640,760,348","550,612,230","372,414,028","339,115,413","302,510,549","347,409,138","451,926,179","334,762,965","405,761,354","390,215,532","325,891,537","297,274,994","293,376,639","277,367,717","240,325,196","249,950,984","242,093,171","226,673,838","201,174,058","189,165,641","180,405,294","209,786,033","194,737,569","189,384,943","179,284,171","176,292,925","161,793,142","153,731,856","141,908,368","9,489,499","15,773,109"
TotalDebt,"1,516,829,000","1,389,681,000","1,086,194,000","1,069,160,000","215,302,000","244,651,000","244,916,000","235,375,000","236,075,000","249,508,000","297,008,000","420,120,000","450,148,918","259,195,172","253,740,608","228,277,775","227,827,301","227,378,071","226,934,953","226,493,058","226,062,006","225,627,368","225,299,691","224,809,469",,,,,,,,,,,,,,,,
ShareIssued,,,"197,057,071","197,057,071","197,057,071","197,057,071","189,095,747","189,095,747","188,957,821","188,957,821","166,949,861","166,949,861","164,586,615","164,586,615",,"161,765,532","161,765,532","161,765,532",,"159,827,876","159,827,876","159,827,876",,"157,735,146","157,735,146","157,735,146",,"156,120,150","156,120,150","156,120,150",,"154,958,044","154,958,044","154,958,044","154,958,044","152,600,000","152,600,000","149,000,000","149,000,000","149,000,000"
OrdinarySharesNumber,,,"197,057,071","197,057,071","197,057,071","197,057,071","189,095,747","189,095,747","188,957,821","188,957,821","166,949,861","166,949,861","164,586,615","164,586,615",,"161,765,532","161,765,532","161,765,532",,"159,827,876","159,827,876","159,827,876",,"157,735,146","157,735,146","157,735,146",,"156,120,150","156,120,150","156,120,150",,"154,958,044","154,958,044","154,958,044","154,958,044","152,600,000","152,600,000","149,000,000","149,000,000","149,000,000"
